Server,Level,name,Fully Qualified Name,Ignore,Merged Description,Description,Status,In Use,Business Unit,App Link,Redline DA Access Granted
GSFS-AU-SQL-Q01,Primary,DBA_Rep,GSFS-AU-SQL-Q01.DBA_Rep,,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_App,GSFS-FC-SQL-P03.GSFS_App,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_ARG,GSFS-FC-SQL-P03.GSFS_ARG,,Report Portal & Executive Dashboard,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_DW,GSFS-FC-SQL-P03.GSFS_DW,,Data Warehouse & All internal applications,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_IPS,GSFS-FC-SQL-P03.GSFS_IPS,,IPS,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_LicMgmt,GSFS-FC-SQL-P03.GSFS_LicMgmt,,Legal,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_OMEGA,GSFS-FC-SQL-P03.GSFS_OMEGA,,OMEGA,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Report,GSFS-FC-SQL-P03.GSFS_Report,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Sandbox,GSFS-FC-SQL-P03.GSFS_Sandbox,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Stage,GSFS-FC-SQL-P03.GSFS_Stage,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,iWORKS,GSFS-FC-SQL-P03.iWORKS,,iWORKS,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,master,GSFS-FC-SQL-P03.master,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,model,GSFS-FC-SQL-P03.model,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,msdb,GSFS-FC-SQL-P03.msdb,Yes,,,NULL,,,,Yes
sqlqascs,Primary,DBA_Rep,sqlqascs.DBA_Rep,,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,scs_auto_qa,GSFS-FC-SQL-P03.scs_auto_qa,,Month End,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,scs_auto_qa_prior_month,GSFS-FC-SQL-P03.scs_auto_qa_prior_month,,Month End,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,scs_stage,GSFS-FC-SQL-P03.scs_stage,,SCS Application,Staging location for Data Warehouse,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,SSA,GSFS-FC-SQL-P03.SSA,,DBA purpose,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,tempdb,GSFS-FC-SQL-P03.tempdb,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,WINGS,GSFS-FC-SQL-P03.WINGS,,WINGS,,NULL,,,,Yes
GSFS-FC-SQL-Q01,Secondary,ASPSTATE,GSFS-FC-SQL-Q01.ASPSTATE,,SCS Application,,ONLINE,,,,Yes
GSFS-SQLDEV01,Dev,DealerDaily,GSFS-SQLDEV01.DealerDaily,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,DBA,GSFS-FC-SQL-Q01.DBA,,DBA purpose,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,gsfs_applications,GSFS-FC-SQL-Q01.gsfs_applications,,GSFS Group Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,GSFS_Trans,GSFS-FC-SQL-Q01.GSFS_Trans,,GSFS Group Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,master,GSFS-FC-SQL-Q01.master,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,model,GSFS-FC-SQL-Q01.model,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,msdb,GSFS-FC-SQL-Q01.msdb,Yes,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,ReportServer,GSFS-FC-SQL-Q01.ReportServer,,SCS Reports,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,ReportServerTempDB,GSFS-FC-SQL-Q01.ReportServerTempDB,,SCS Reports,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_auto_document_gsfs,GSFS-FC-SQL-Q01.scs_auto_document_gsfs,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_auto_gsfs,GSFS-FC-SQL-Q01.scs_auto_gsfs,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_auto_master,GSFS-FC-SQL-Q01.scs_auto_master,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_auto_temp,GSFS-FC-SQL-Q01.scs_auto_temp,,SCS Application,,ONLINE,,,,Yes
GSFS-FC-SQL-Q01,Secondary,scs_stage,GSFS-FC-SQL-Q01.scs_stage,,SCS Application,,ONLINE,,,,Yes
